hand,combos,notqual,lose,draw,win,antebonus,ev
"Card[2♣, 2♢, 2♡]",4,5145,48,0,13231,5,6.710323491098567
"Card[3♣, 2♣, 2♢]",6,5209,4783,3,8429,0,0.6785171515414676
"Card[3♣, 2♢, 2♣]",6,5209,4783,3,8429,0,0.6785171515414676
"Card[3♣, 2♢, 2♡]",12,5216,4774,3,8431,0,0.6800911854103343
"Card[3♣, 3♢, 2♣]",6,5224,4630,3,8567,0,0.7109205384281372
"Card[3♣, 3♢, 2♢]",6,5224,4630,3,8567,0,0.7109205384281372
"Card[3♣, 3♢, 2♡]",12,5231,4621,3,8569,0,0.7124945722970039
"Card[3♣, 3♢, 3♡]",4,5190,0,0,13234,5,6.718302214502822
"Card[4♣, 2♣, 2♢]",6,5224,4772,3,8425,0,0.6800911854103343
"Card[4♣, 2♢, 2♣]",6,5224,4772,3,8425,0,0.6800911854103343
"Card[4♣, 2♢, 2♡]",12,5231,4762,3,8428,0,0.6818823273990448
"Card[4♣, 3♣, 2♣]",4,5250,81,3,13090,4,5.697134172818063
"Card[4♣, 3♣, 2♢]",12,5264,643,25,12492,1,2.5719713417281804
"Card[4♣, 3♣, 3♢]",6,5247,4479,3,8695,0,0.742455492835432
"Card[4♣, 3♢, 2♣]",12,5263,643,25,12493,1,2.5720256187581416
"Card[4♣, 3♢, 2♢]",12,5263,644,25,12492,1,2.5718085106382977
"Card[4♣, 3♢, 2♡]",24,5270,642,26,12486,1,2.571754233608337
"Card[4♣, 3♢, 3♣]",6,5247,4479,3,8695,0,0.742455492835432
"Card[4♣, 3♢, 3♡]",12,5253,4470,3,8698,0,0.7440838037342596
"Card[4♣, 4♢, 2♣]",6,5254,4353,3,8814,0,0.7694311767260096
"Card[4♣, 4♢, 2♢]",6,5254,4353,3,8814,0,0.7694311767260096
"Card[4♣, 4♢, 2♡]",12,5261,4343,3,8817,0,0.7712223187147199
"Card[4♣, 4♢, 3♣]",6,5262,4341,3,8818,0,0.7716022579244464
"Card[4♣, 4♢, 3♢]",6,5262,4341,3,8818,0,0.7716022579244464
"Card[4♣, 4♢, 3♡]",12,5268,4332,3,8821,0,0.773230568823274
"Card[4♣, 4♢, 4♡]",4,5235,44,0,13145,5,6.706306990881459
"Card[5♣, 2♣, 2♢]",6,5231,4761,3,8429,0,0.6820994355188884
"Card[5♣, 2♢, 2♣]",6,5231,4761,3,8429,0,0.6820994355188884
"Card[5♣, 2♢, 2♡]",12,5239,4750,3,8432,0,0.6840534085974815
"Card[5♣, 3♣, 2♣]",4,5256,1627,3,11538,0,1.3611593573599652
"Card[5♣, 3♣, 2♢]",12,5270,13154,0,0,0,-1.1418801563178462
"Card[5♣, 3♣, 3♢]",6,5254,4468,3,8699,0,0.7444637429439861
"Card[5♣, 3♢, 2♣]",12,5269,13155,0,0,0,-1.1420429874077291
"Card[5♣, 3♢, 2♢]",12,5270,13154,0,0,0,-1.1418801563178462
"Card[5♣, 3♢, 2♡]",24,5277,13147,0,0,0,-1.140740338688667
"Card[5♣, 3♢, 3♣]",6,5254,4468,3,8699,0,0.7444637429439861
"Card[5♣, 3♢, 3♡]",12,5261,4458,3,8702,0,0.7462548849326965
"Card[5♣, 4♣, 2♣]",4,5268,1624,3,11529,0,1.3611593573599652
"Card[5♣, 4♣, 2♢]",12,5282,13142,0,0,0,-1.139926183239253
"Card[5♣, 4♣, 3♣]",4,5277,77,3,13067,4,5.696537125488494
"Card[5♣, 4♣, 3♢]",12,5290,582,25,12527,1,2.5838037342596616
"Card[5♣, 4♣, 4♢]",6,5277,4205,3,8939,0,0.8003148067737733
"Card[5♣, 4♢, 2♣]",12,5280,13144,0,0,0,-1.1402518454190187
"Card[5♣, 4♢, 2♢]",12,5281,13143,0,0,0,-1.140089014329136
"Card[5♣, 4♢, 2♡]",24,5288,13136,0,0,0,-1.1389491966999565
"Card[5♣, 4♢, 3♣]",12,5289,582,25,12528,1,2.5838580112896223
"Card[5♣, 4♢, 3♢]",12,5290,583,25,12526,1,2.5835866261398177
"Card[5♣, 4♢, 3♡]",24,5296,581,26,12521,1,2.5835866261398177
"Card[5♣, 4♢, 4♣]",6,5277,4205,3,8939,0,0.8003148067737733
"Card[5♣, 4♢, 4♡]",12,5283,4196,3,8942,0,0.801943117672601
"Card[5♣, 5♢, 2♣]",6,5261,4076,3,9084,0,0.8291901867129831
"Card[5♣, 5♢, 2♢]",6,5261,4076,3,9084,0,0.8291901867129831
"Card[5♣, 5♢, 2♡]",12,5269,4065,3,9087,0,0.8311441597915762
"Card[5♣, 5♢, 3♣]",6,5269,4064,3,9088,0,0.8313612679114198
"Card[5♣, 5♢, 3♢]",6,5269,4064,3,9088,0,0.8313612679114198
"Card[5♣, 5♢, 3♡]",12,5276,4054,3,9091,0,0.8331524099001303
"Card[5♣, 5♢, 4♣]",6,5277,4067,3,9077,0,0.8302757273122015
"Card[5♣, 5♢, 4♢]",6,5277,4067,3,9077,0,0.8302757273122015
"Card[5♣, 5♢, 4♡]",12,5283,4058,3,9080,0,0.8319040382110291
"Card[5♣, 5♢, 5♡]",4,5235,40,0,13149,5,6.707175423360834
"Card[6♣, 2♣, 2♢]",6,5231,4757,3,8433,0,0.6829678679982631
"Card[6♣, 2♢, 2♣]",6,5231,4757,3,8433,0,0.6829678679982631
"Card[6♣, 2♢, 2♡]",12,5239,4746,3,8436,0,0.6849218410768563
"Card[6♣, 3♣, 2♣]",4,5259,1618,3,11544,0,1.3629504993486756
"Card[6♣, 3♣, 2♢]",12,5273,13151,0,0,0,-1.141391663048198
"Card[6♣, 3♣, 3♢]",6,5261,4457,3,8703,0,0.7464719930525402
"Card[6♣, 3♢, 2♣]",12,5273,13151,0,0,0,-1.141391663048198
"Card[6♣, 3♢, 2♢]",12,5274,13150,0,0,0,-1.1412288319583153
"Card[6♣, 3♢, 2♡]",24,5281,13143,0,0,0,-1.140089014329136
"Card[6♣, 3♢, 3♣]",6,5261,4457,3,8703,0,0.7464719930525402
"Card[6♣, 3♢, 3♡]",12,5269,4446,3,8706,0,0.7484259661311333
"Card[6♣, 4♣, 2♣]",4,5271,1615,3,11535,0,1.3629504993486756
"Card[6♣, 4♣, 2♢]",12,5285,13139,0,0,0,-1.1394376899696048
"Card[6♣, 4♣, 3♣]",4,5283,1600,3,11538,0,1.3655557967867997
"Card[6♣, 4♣, 3♢]",12,5296,13128,0,0,0,-1.1376465479808946
"Card[6♣, 4♣, 4♢]",6,5284,4194,3,8943,0,0.8023230568823274
"Card[6♣, 4♢, 2♣]",12,5284,13140,0,0,0,-1.1396005210594877
"Card[6♣, 4♢, 2♢]",12,5285,13139,0,0,0,-1.1394376899696048
"Card[6♣, 4♢, 2♡]",24,5292,13132,0,0,0,-1.1382978723404256
"Card[6♣, 4♢, 3♣]",12,5295,13129,0,0,0,-1.1378093790707773
"Card[6♣, 4♢, 3♢]",12,5297,13127,0,0,0,-1.1374837168910117
"Card[6♣, 4♢, 3♡]",24,5303,13121,0,0,0,-1.1365067303517151
"Card[6♣, 4♢, 4♣]",6,5284,4194,3,8943,0,0.8023230568823274
"Card[6♣, 4♢, 4♡]",12,5291,4184,3,8946,0,0.8041141988710377
"Card[6♣, 5♣, 2♣]",4,5271,1609,3,11541,0,1.3642531480677378
"Card[6♣, 5♣, 2♢]",12,5286,13138,0,0,0,-1.1392748588797221
"Card[6♣, 5♣, 3♣]",4,5283,1594,3,11544,0,1.3668584455058619
"Card[6♣, 5♣, 3♢]",12,5297,13127,0,0,0,-1.1374837168910117
"Card[6♣, 5♣, 4♣]",4,5292,73,3,13056,4,5.696591402518454
"Card[6♣, 5♣, 4♢]",12,5305,522,25,12572,1,2.5960160660008684
"Card[6♣, 5♣, 5♢]",6,5277,3931,3,9213,0,0.8598024316109423
"Card[6♣, 5♢, 2♣]",12,5284,13140,0,0,0,-1.1396005210594877
"Card[6♣, 5♢, 2♢]",12,5284,13140,0,0,0,-1.1396005210594877
"Card[6♣, 5♢, 2♡]",24,5292,13132,0,0,0,-1.1382978723404256
"Card[6♣, 5♢, 3♣]",12,5295,13129,0,0,0,-1.1378093790707773
"Card[6♣, 5♢, 3♢]",12,5296,13128,0,0,0,-1.1376465479808946
"Card[6♣, 5♢, 3♡]",24,5303,13121,0,0,0,-1.1365067303517151
"Card[6♣, 5♢, 4♣]",12,5304,522,25,12573,1,2.5960703430308296
"Card[6♣, 5♢, 4♢]",12,5305,523,25,12571,1,2.5957989578810245
"Card[6♣, 5♢, 4♡]",24,5311,521,26,12566,1,2.5957989578810245
"Card[6♣, 5♢, 5♣]",6,5277,3931,3,9213,0,0.8598024316109423
"Card[6♣, 5♢, 5♡]",12,5283,3922,3,9216,0,0.8614307425097699
"Card[6♣, 6♢, 2♣]",6,5261,3806,3,9354,0,0.8878093790707773
"Card[6♣, 6♢, 2♢]",6,5261,3806,3,9354,0,0.8878093790707773
"Card[6♣, 6♢, 2♡]",12,5269,3795,3,9357,0,0.8897633521493704
"Card[6♣, 6♢, 3♣]",6,5276,3787,3,9358,0,0.8911202778983934
"Card[6♣, 6♢, 3♢]",6,5276,3787,3,9358,0,0.8911202778983934
"Card[6♣, 6♢, 3♡]",12,5284,3776,3,9361,0,0.8930742509769866
"Card[6♣, 6♢, 4♣]",6,5284,3790,3,9347,0,0.890034737299175
"Card[6♣, 6♢, 4♢]",6,5284,3790,3,9347,0,0.890034737299175
"Card[6♣, 6♢, 4♡]",12,5291,3780,3,9350,0,0.8918258792878854
"Card[6♣, 6♢, 5♣]",6,5277,3793,3,9351,0,0.8897633521493704
"Card[6♣, 6♢, 5♢]",6,5277,3793,3,9351,0,0.8897633521493704
"Card[6♣, 6♢, 5♡]",12,5283,3784,3,9354,0,0.8913916630481981
"Card[6♣, 6♢, 6♡]",4,5235,36,0,13153,5,6.7080438558402085
"Card[7♣, 2♣, 2♢]",6,5231,4753,3,8437,0,0.6838363004776379
"Card[7♣, 2♢, 2♣]",6,5231,4753,3,8437,0,0.6838363004776379
"Card[7♣, 2♢, 2♡]",12,5239,4742,3,8440,0,0.685790273556231
"Card[7♣, 3♣, 2♣]",4,5259,1603,3,11559,0,1.366207121146331
"Card[7♣, 3♣, 2♢]",12,5273,13151,0,0,0,-1.141391663048198
"Card[7♣, 3♣, 3♢]",6,5261,4453,3,8707,0,0.7473404255319149
"Card[7♣, 3♢, 2♣]",12,5273,13151,0,0,0,-1.141391663048198
"Card[7♣, 3♢, 2♢]",12,5274,13150,0,0,0,-1.1412288319583153
"Card[7♣, 3♢, 2♡]",24,5281,13143,0,0,0,-1.140089014329136
"Card[7♣, 3♢, 3♣]",6,5261,4453,3,8707,0,0.7473404255319149
"Card[7♣, 3♢, 3♡]",12,5269,4442,3,8710,0,0.7492943986105081
"Card[7♣, 4♣, 2♣]",4,5274,1596,3,11551,0,1.3669127225358229
"Card[7♣, 4♣, 2♢]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[7♣, 4♣, 3♣]",4,5286,1581,3,11554,0,1.369518019973947
"Card[7♣, 4♣, 3♢]",12,5299,13125,0,0,0,-1.137158054711246
"Card[7♣, 4♣, 4♢]",6,5291,4183,3,8947,0,0.8043313069908815
"Card[7♣, 4♢, 2♣]",12,5288,13136,0,0,0,-1.1389491966999565
"Card[7♣, 4♢, 2♢]",12,5289,13135,0,0,0,-1.1387863656100738
"Card[7♣, 4♢, 2♡]",24,5296,13128,0,0,0,-1.1376465479808946
"Card[7♣, 4♢, 3♣]",12,5299,13125,0,0,0,-1.137158054711246
"Card[7♣, 4♢, 3♢]",12,5301,13123,0,0,0,-1.1368323925314807
"Card[7♣, 4♢, 3♡]",24,5307,13117,0,0,0,-1.1358554059921842
"Card[7♣, 4♢, 4♣]",6,5291,4183,3,8947,0,0.8043313069908815
"Card[7♣, 4♢, 4♡]",12,5299,4172,3,8950,0,0.8062852800694746
"Card[7♣, 5♣, 2♣]",4,5274,1590,3,11557,0,1.368215371254885
"Card[7♣, 5♣, 2♢]",12,5289,13135,0,0,0,-1.1387863656100738
"Card[7♣, 5♣, 3♣]",4,5286,1575,3,11560,0,1.3708206686930091
"Card[7♣, 5♣, 3♢]",12,5300,13124,0,0,0,-1.1369952236213634
"Card[7♣, 5♣, 4♣]",4,5298,1575,3,11548,0,1.3701693443334781
